platform,is_ranking,rank,brand,brand_likes,main_category,category,gender,product_detail_url,product_name,color,color_chip,thumbnail,likes,views,details,material,current_price,regular_price,discount_rate,rating,reviews,sales,manufacture_date,crawled_at,reorder
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=2030,Sophie blouse (Ivory),,,https://notyourrose.com/web/product/medium/202606/99dbce5980ba51e48174a4c1f7b2ca2d.jpg,,,,,,"₩99,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=2032,Sophie blouse (Check),,,https://notyourrose.com/web/product/medium/202605/7054573726bb341c5fbccad4a9dfbaf4.jpg,,,,,,"₩109,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=2031,Sophie blouse (Black),,,https://notyourrose.com/web/product/medium/202605/b501150c93a1543870d50c4e6d9f2122.jpg,,,,,,"₩99,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=2033,Claire blouse (Ivory),,,https://notyourrose.com/web/product/medium/202606/4ab0c7650f9f84b8db7faeadbdce5d3d.jpg,,,,,,"₩99,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=2034,Claire blouse (Black),,,https://notyourrose.com/web/product/medium/202606/3d57baac6fe2bf105715a7cefd1448f6.jpg,,,,,,"₩99,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=2025,Celine cowl blouse (Cream),,,https://notyourrose.com/web/product/medium/202606/124d565d0ab9b3575b4a957b3f9bdcaa.jpg,,,,,,"₩79,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=2027,Celine cowl blouse (Check),,,https://notyourrose.com/web/product/medium/202605/70cf69d9f65bc66d9bea7e0453d7527e.jpg,,,,,,"₩89,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=2026,Celine cowl blouse (Black),,,https://notyourrose.com/web/product/medium/202605/fec8e38be89d7226a82d15ae833c3cd4.jpg,,,,,,"₩79,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=2028,Chloe blouse (Ivory),,,https://notyourrose.com/web/product/medium/202606/a05a8195a06f27b9bee3baa7368d0af7.jpg,,,,,,"₩89,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=2029,Chloe blouse (Black),,,https://notyourrose.com/web/product/medium/202606/fdcf895ec8138f2103934986949ffea2.jpg,,,,,,"₩89,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=2013,Susan blouse (Ivory),,,https://notyourrose.com/web/product/medium/202605/3f3c78f68b78fd8683d13c11ef7f1aa5.jpg,,,,,,"₩89,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=2015,Susan blouse (Check),,,https://notyourrose.com/web/product/medium/202605/8af42a76e92e0270b1dd7119bbef89c4.jpg,,,,,,"₩89,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=2035,Blanche dress (Ivory),,,https://notyourrose.com/web/product/medium/202605/7c413eaa6571dcba07b494835277a81c.jpg,,,,,,"₩139,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=2036,Blanche dress (Black),,,https://notyourrose.com/web/product/medium/202605/eee2321704cdce4aef1fd5773389e57c.jpg,,,,,,"₩139,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=2037,Gabrielle capri pants (Charcoal),,,https://notyourrose.com/web/product/medium/202606/ce8b82ad4a7aa950bc8376823c9b80de.jpg,,,,,,"₩89,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=2049,Gabrielle capri pants (Black),,,https://notyourrose.com/web/product/medium/202605/9d23c56fe86a4cb1e1dc64705660b4b5.jpg,,,,,,"₩89,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=2039,Hazel wide pants (Ivory),,,https://notyourrose.com/web/product/medium/202605/3e1c305fb4899e6ddcead1d8b6f84da9.jpg,,,,,,"₩119,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=2038,Hazel wide pants (Beige),,,https://notyourrose.com/web/product/medium/202605/775b4c0a63b9c4151bd7c494d5d528d6.jpg,,,,,,"₩119,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1934,Lace frill sleeveless (Ivory),,,https://notyourrose.com/web/product/medium/202602/0e52d1e4e005ec975aa2083bfa135b50.jpg,,,,,,"₩79,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1932,Drape lace blouse (Ivory),,,https://notyourrose.com/web/product/medium/202606/e1612cfa7093ab57a9265b61b3768127.jpg,,,,,,"₩79,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1933,Drape lace blouse (Black),,,https://notyourrose.com/web/product/medium/202606/0d1f796303d3a9781f0dd47e8b7a4b9c.jpg,,,,,,"₩79,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1930,Floral puff blouse (Ivory),,,https://notyourrose.com/web/product/medium/202606/64629f80d96c1ab7c4efbc9c84e73da9.jpg,,,,,,"₩89,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1931,[아현 착용] Floral puff blouse (White),,,https://notyourrose.com/web/product/medium/202606/5152b1fa320de8c317f38159260d2842.jpg,,,,,,"₩89,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1928,Floral square blouse (Ivory),,,https://notyourrose.com/web/product/medium/202604/068b6e17ba8f7d0a688f0cb17b2888ae.jpg,,,,,,"₩79,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1926,Classy one-shoulder shirt (White),,,https://notyourrose.com/web/product/medium/202602/7ec8d4cd991e7ac20e202d9763780d72.jpg,,,,,,"₩99,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1924,Ribbon square blouse (Ivory),,,https://notyourrose.com/web/product/medium/202604/12dba2fd14e90eb593e0e6fae7790f5c.jpg,,,,,,"₩99,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1925,Ribbon square blouse (Navy),,,https://notyourrose.com/web/product/medium/202602/d13457f59a61e8cfc6af4c14c84ee70a.jpg,,,,,,"₩99,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1939,"[7/2 예약배송] [조이, 치키타 착용] Off shoulder ribbon top (Ivory)",,,https://notyourrose.com/web/product/medium/202604/a1a4433bd3675ce1f26f704b54205bf3.jpg,,,,,,"₩64,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1940,[7/2 예약배송] Off shoulder ribbon top (Black),,,https://notyourrose.com/web/product/medium/202604/3c84b7afc7bc905e7493de3e1d5dfa30.jpg,,,,,,"₩64,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1937,Drape t-shirt (Ivory),,,https://notyourrose.com/web/product/medium/202602/8f62711516a7288bb76bf7c3fda67472.jpg,,,,,,"₩54,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1938,Drape t-shirt (Blue),,,https://notyourrose.com/web/product/medium/202604/ee804fe3e22b32c326f5f51a52847ce8.jpg,,,,,,"₩54,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1935,Off shoulder shawl top (Ivory),,,https://notyourrose.com/web/product/medium/202602/0dd4f0dcc0745e3333c5674b86aae90a.jpg,,,,,,"₩59,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1936,Off shoulder shawl top (Black),,,https://notyourrose.com/web/product/medium/202602/e322f8ee432cfca3e65b68dcc348bbe2.jpg,,,,,,"₩59,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1955,Scarlett mini skirt (Ivory),,,https://notyourrose.com/web/product/medium/202604/70347d164aa3b9102079a06a57199314.jpg,,,,,,"₩54,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1956,[아현 착용] Floral flare skirt (White),,,https://notyourrose.com/web/product/medium/202604/46b6e9a2f6980173f096cb5d2eb2e819.jpg,,,,,,"₩64,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1957,Floral flare skirt (Navy),,,https://notyourrose.com/web/product/medium/202604/e663536bcb6ddbdf2c6859199c064fcd.jpg,,,,,,"₩64,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1958,[수이 착용] Lace tiered long skirt (Ivory),,,https://notyourrose.com/web/product/medium/202602/7ca72a000b0796e19a286c47eeeb89b0.jpg,,,,,,"₩109,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1953,Floral flare dress (White),,,https://notyourrose.com/web/product/medium/202602/58b0289b337f95b02430128a0b0ec5a9.jpg,,,,,,"₩94,000",,,,,,260626,
,false,,낫유어로즈,,,전체,,https://notyourrose.com/product/detail.html?product_no=1954,Floral flare dress (Navy),,,https://notyourrose.com/web/product/medium/202602/8c5352e8307ff78cae61b3362eb592a9.jpg,,,,,,"₩94,000",,,,,,260626,
