front_images_url,product_name,brand,category,gender,regular_price,current_price,discount_rate,color_text,material,details,sizes_available,fit,length,sleeve_length,style,lining,thickness,season,transparency,elasticity,rating,reviews,product_detail_url,crawled_at
,jackie capri,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,bodies fitted biker jacket,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,a-line cotton skirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,structured t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,balenciaga sacré cœur medium fit t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,balenciaga sacré cœur train t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,train t-shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,techwear cocoon hoodie,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,techwear cocoon hoodie,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,techwear cropped tank top,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,techwear leggings,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cape dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,off-shoulder dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,long sleeve off-shoulder dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,long sleeve maxi dress,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cropped peacoat,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,boatneck sweater,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,cropped shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,mini shorts,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,striped poplin shirt,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
,regular fit jeans,BALENCIAGA,,,,,,,,,,,,,,,,,,,,,,2026-06-18 09:00:03
